City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,castro,-24.7911,-50.0119,26.01,53,65,1.25,BR,1675789403
108,luderitz,-26.6481,15.1594,22.82,66,0,12.59,NA,1675789492
109,tiksi,71.6872,128.8694,-32.22,99,100,1.65,RU,1675789588
110,vostok,46.4856,135.8833,-18.86,99,100,1.98,RU,1675789440
111,cockburn town,21.4612,-71.1419,25.12,76,0,8.61,TC,1675789606
112,matamoros,25.5333,-103.25,20.06,24,75,5.14,MX,1675789840
113,talnakh,69.4865,88.3972,-20.85,98,99,2.6,RU,1675789351
114,severnyy,50.677,36.5532,-9.98,78,0,5.0,RU,1675789847
115,tuatapere,-46.1333,167.6833,10.31,86,87,4.85,NZ,1675789584
116,nanortalik,60.1432,-45.2371,-12.93,62,6,12.37,GL,1675789560
117,antigonish,45.6169,-61.9986,-0.41,70,100,2.68,CA,1675789552
118,mahon,39.8885,4.2658,11.31,82,75,12.35,ES,1675789570
119,brewster,41.3973,-73.6171,4.18,38,0,3.09,US,1675789848
120,tuktoyaktuk,69.4541,-133.0374,-34.0,68,100,0.0,CA,1675789380
121,alofi,-19.0595,-169.9187,23.94,100,100,2.06,NU,1675789624
122,ahipara,-35.1667,173.1667,18.02,78,97,2.29,NZ,1675789466
123,dandong,40.1292,124.3947,-2.24,43,16,3.13,CN,1675789849
124,ust-karsk,52.7011,118.8077,-24.73,100,98,1.28,RU,1675789849
125,bluff,-46.6,168.3333,10.45,77,84,12.29,NZ,1675789338
126,dingle,10.9995,122.6711,23.25,92,100,3.47,PH,1675789439
127,nuoro,40.3211,9.3297,2.46,76,46,4.2,IT,1675789850
128,norman wells,65.282,-126.8329,-23.98,77,100,0.0,CA,1675789484
129,torbay,47.6666,-52.7314,-4.68,81,100,10.8,CA,1675789248
130,road town,18.4167,-64.6167,28.02,74,40,4.12,VG,1675789850
131,nouadhibou,20.931,-17.0347,18.28,63,0,8.92,MR,1675789850
132,pochutla,15.7432,-96.4661,30.9,35,0,2.63,MX,1675789505
133,port moresby,-9.4431,147.1797,23.6,90,100,3.14,PG,1675789851
134,victoria,22.2855,114.1577,20.54,92,49,4.02,HK,1675789625
135,mana,5.6592,-53.7767,27.23,77,71,4.93,GF,1675789716
136,vila velha,-20.3297,-40.2925,30.97,70,20,7.72,BR,1675789661
137,krutaya gorka,55.3649,73.2231,-19.07,100,98,1.54,RU,1675789851
138,ati,13.2154,18.3353,28.43,12,11,5.01,TD,1675789852
139,bethel,41.3712,-73.414,4.54,36,0,3.09,US,1675789567
140,luwuk,-0.9516,122.7875,26.07,78,100,1.78,ID,1675789852
141,albany,42.6001,-73.9662,2.8,46,55,2.24,US,1675789232
142,knyaze-volkonskoye,48.4642,135.4567,-15.81,97,86,3.1,RU,1675789853
143,sitka,57.0531,-135.33,-0.06,86,40,1.54,US,1675789607
144,nha trang,12.25,109.1833,24.0,94,72,2.5,VN,1675789854
145,soledad,10.9184,-74.7646,30.88,54,1,5.89,CO,1675789854
